"Politician","Social activist","Entertainers","Religious ","sports","Education"
"@calxandr","@theCCR","@singernews",,"@faf1307","@UNESCO"
"@SecPriceMD","@F1abraham","@Sukhbir_Singer",,"@davidwarner31","@NEUnion"
"@JuliaLopezMP","@anujakapurindia","@ramonasinger",,"@Shah64Y","@WA_Edu_News"
"@M_Ignatieff","@bora_debashree","@AdamSinger",,"@im_manishpandey","@EdNCES"
"@realsarathkumar","@OshalaHerath","@TheGeneralMH",,"@jbairstow21","@OHEducation"
"@MuellerChemnitz","@UjjawalModi_","@PeterASinger",,"@JamesFaulkner44","@pearson"
"@RepCori","@sarifarahman5","@mattsinger",,"@lynny50","@WVEducation"
"@MayorEdMurray","@JulieKotsis","@CahnEmily",,"@Jaspritbumrah93","@PADeptofEd"
"@UrmilaMatondkar","@SSingh_odisha","@justinbriner",,"@cheteshwar1","@BureauIndianEdu"
"@JayCostTWS","@comradephils","@singer_karthik",,"@mandeeps12","@Ofstednews"
"@RepDanDonovan","@adireddyfantasy","@DerrickClifton",,"@Eoin16","@BetsyDeVosED"
"@aliktareen","@nishant53714061","@hiroakikato39",,"@faf1307","@AETCommand"
"@Drmahmoudothman","@jury_sharma","@grant_singer",,"@davidwarner31","@georgiadeptofed"
"@warispathan","@thedigitalpahdi","@Sreeram_singer",,"@Shah64Y","@AliceAlbright"
"@GAMIR_INC","@activistjyot","@msinger",,"@im_manishpandey","@AICTE_INDIA"
"@annajohansson","@RamkumarvermaMP","@danielsinger",,"@jbairstow21","@NHS_Education"
"@RepRussell","@setumostone","@geethasinger",,"@JamesFaulkner44","@equal_education"
"@JohnChiangCA","@ShumbaGong","@TuttleSinger",,"@lynny50","@MHEducation"
"@ielvisgomes","@imchandanRay","@RobertaBSinger",,"@Jaspritbumrah93","@GoStanford"
"@HindAleryani","@plogmanofindia","@CorySings",,"@TamimOfficial28","@sddoe"
"@MikeGapes","@actornepoleon","@alsinger",,"@root66","@JHUeducation"
"@DrAlGrossAK","@fmir_official","@oliviasinger",,"@dmalan29","@EduPolicyInst"
"@AndrewLawton","@thedigitalpahdi","@SingerHanaa",,"@ravibopara","@haridusmin"
"@jacklang","@activistjyot","@lh_singer",,"@imK_Ahmed13","@iceculinary"
"@GAMIR_INC","@RamkumarvermaMP","@msinger",,"@M_IrfanOfficial","@NewJerseyDOE"
"@annajohansson","@setumostone","@danielsinger",,"@Martyguptill","@MOEducation"
"@RepRussell","@ShumbaGong","@geethasinger",,"@krunalpandya24","@TLDEF"
"@JohnChiangCA","@imchandanRay","@TuttleSinger",,"@Sundarwashi5","@equal_education"
"@ielvisgomes","@plogmanofindia","@RobertaBSinger",,"@chriswoakes","@MHEducation"
"@HindAleryani","@actornepoleon","@CorySings",,"@Mahmudullah30","@GoStanford"
"@MikeGapes","@fmir_official","@alsinger",,"@mayankcricket","@sddoe"
"@DrAlGrossAK","@SQMasood","@oliviasinger",,"@Wriddhipops","@JHUeducation"
"@AndrewLawton","@abhijitsapkal1","@SingerHanaa",,"@VarunAaron","@EduPolicyInst"
"@jacklang","@Farah_Gazan","@lh_singer",,"@Angelo69Mathews","@haridusmin"
"@RepWOLFPress","@MirAijaz89","@JeanValjenny",,"@finnysteve","@iceculinary"
"@GurpreetKChadha","@ShelBailey","@Jonny_Singer",,"@VDP_24","@NewJerseyDOE"
"@DavidPepper","@jamesocromwell","@DarthJeff90",,"@ishankishan51","@MOEducation"
"@SalmanNizami_","@jothims","@sarahsinger",,"@Hanumavihari","@TLDEF"
"@Jan_Achakzai","@octavianasr","@cardiffsinger",,"@AlexHales1","@MsKathyBates"
"@BarryKnight81","@HardikPatel_","@TorriSingerNews",,"@Sundarwashi5","@KyDeptofEd"
"@PringleforAL01","@ChangeAgentSA","@SteveSinger10",,"@chriswoakes","@MOEsg"
"@BBugti","@ThuliMadonsela3","@MaryBlackSinger",,"@Mahmudullah30","@EducationGovtNZ"
"@TheSureshGopi","@Arslan_Sadiq","@Dalesinger",,"@mayankcricket","@iste"
"@GovernorQuinn","@cliff_notes","@ScottSingerUSA",,"@Wriddhipops","@attesakari"
"@MaryamMonsef","@GraceOSllvn","@AdamBrockSings",,"@VarunAaron","@MissDeptEd"
"@jawadahmadone","@tonyocruz","@JoshySinger",,"@Angelo69Mathews","@MnDeptEd"
"@aaronjcarpenter","@HarshBisaria","@Reid_Singer",,"@finnysteve","@HIDOE808"
"@gaprithvi","@NyanzaMoore","@JeremySinger",,"@VDP_24","@eduint"
"@akshayent","@AownMShah","@ManojTiwariMP",,"@ishankishan51","@asexuality"
"@Masood__Khan","@SusanWTurnbull","@JohnSteelSinger",,"@Hanumavihari","@utexascoe"
"@tuhins","@Arslan_Sadiq","@GoldenMelody",,"@AlexHales1","@NAfME"
"@anilaali","@cliff_notes","@rosalia",,"@jamestaylor20","@Educ_SportsUg"
"@shweta_shalini","@GraceOSllvn","@TheXFactor",,"@ShreyasIyer15","@KPESED"
"@MarkFarrellSF","@tonyocruz","@oO0Eve0Oo",,"@mvj888","@InstituteForEdu"
"@jawadahmadone","@HarshBisaria","@miikesinger",,"@NitishRana_27","@EduMinOfIndia"
"@aaronjcarpenter","@NyanzaMoore","@AdamBrockSings",,"@vijayshankar260","@CHSE_HighSchool"
"@gaprithvi","@AownMShah","@JoshySinger",,"@patcummins30","@CambridgeInt"
"@akshayent","@SusanWTurnbull","@Reid_Singer",,"@Ian_Bell","@UTPublicEd"
"@Masood__Khan","@neuroayush","@JeremySinger",,"@ImMananVohra","@HIDOE808"
"@tuhins","@SociallyBlog","@ManojTiwariMP",,"@shreevats1","@eduint"
"@anilaali","@Marianne1Farley","@JohnSteelSinger",,"@sandeep25a","@asexuality"
"@shweta_shalini","@AngieForNe","@GoldenMelody",,"@WayneParnell","@utexascoe"
"@MarkFarrellSF","@SocialKrista","@rosalia",,"@PrithviShaw","@NAfME"
"@MelnykAndrij","@NirajPandeyLive","@TheXFactor",,"@Jaseholder98","@Educ_SportsUg"
"@RSPraveenSwaero","@yadavteju","@oO0Eve0Oo",,"@SaluteCotterell","@KPESED"
"@LuvSinha","@SundarrajanG","@miikesinger",,"@Kyle_Abbott87","@InstituteForEdu"
"@PeterJLuff","@Prksh_Ambedkar","@maiamusical",,"@deepak_chahar9","@EduMinOfIndia"
"@sajadlone","@ThamizhachiTh","@official_jinu_",,"@dhawal_kulkarni","@CHSE_HighSchool"
"@HEBabuOwino","@KunalGhoshAgain","@Imrankhanworld",,"@Sandeep25","@CambridgeInt"
"@corenswet","@yadavmamta11","@MonicaDenise",,"@AnamulOfficial","@UTPublicEd"
"@TheoGermaine","@Kush_voice","@iamlp",,"@SuzieWBates","@GLSEN"
"@Tim_Gibbons","@Tahani_alhajri","@paponmusic",,"@sandeep25a","@EPCulture"
"@JillHennessyMP","@KuldeepKadyan","@MaskSingerA3",,"@WayneParnell","@edpioneers"
"@isai_","@PMKAdvocateBalu","@JamesMorrisonOK",,"@PrithviShaw","@EducateIN"
"@KimGuadagnoNJ","@HaripalRawat1","@julissamusic",,"@Jaseholder98","@EdReformNowUSA"
"@JayNarayan_Vyas","@MianAslam_","@DurbinRock",,"@SaluteCotterell","@GPEChair"
"@Pawansh07","@BalkaurDhillon","@TheRealKano",,"@Kyle_Abbott87","@LynchFoundation"
"@RepRobertHurt","@AniketDhanuk_","@christiandmusic",,"@deepak_chahar9","@PearsonNorthAm"
"@Deb_Matthews","@RamNiwasGoelAap","@MetOpera",,"@dhawal_kulkarni","@Education_NI"
"@DrLisaCameronMP","@yadavmamta11","@KayaJones",,"@Sandeep25","@cbseindia29"
"@irfanpanditpuri","@Kush_voice","@DanB",,"@AnamulOfficial","@jessicasutterW6"
"@tracyrediesbc","@Tahani_alhajri","@schultemusic",,"@SuzieWBates","@AndreAgassi"
"@KimGuadagnoNJ","@KuldeepKadyan","@AndTheWriterIs",,"@devdpd07","@uennews"
"@JayNarayan_Vyas","@PMKAdvocateBalu","@Rahim_TheDream",,"@RayuduAmbati","@EducEndowFoundn"
"@Pawansh07","@HaripalRawat1","@SteveOsunsami",,"@IamAbhiSharma4","@TNHigherEd"
"@RepRobertHurt","@MianAslam_","@DurbinRock",,"@ahealy77","@LamazeOnline"
"@Deb_Matthews","@BalkaurDhillon","@TheRealKano",,"@JasonRoy20","@SeneddChildren"
"@DrLisaCameronMP","@AniketDhanuk_","@christiandmusic",,"@gowthamyadav88","@ESFAgov"
"@irfanpanditpuri","@RamNiwasGoelAap","@MetOpera",,"@CurranSM","@IESResearch"
"@tracyrediesbc","@pakshalikasingh","@KayaJones",,"@AshwinMurugan8","@SecCardona"
"@CharlotteLaws","@YaminiYJadhav","@DanB",,"@iamanmolpreet28","@NIPER_SAS_NAGAR"
"@brentrathgeber","@sanjaysinghjdu","@schultemusic",,"@CJordan","@cbseindia29"
"@lidiafopereira","@VirendraNehra9","@AndTheWriterIs",,"@HerathRSL","@jessicasutterW6"
"@TOPOarg","@SarveshSays","@Rahim_TheDream",,"@navdeepsaini96","@AndreAgassi"
"@WinnieKiiza","@JoonBhupinder","@SteveOsunsami",,"@Rileerr","@uennews"
"@PMacManu","@KingofMarco","@almacyber",,"@MccullumNathan","@EducEndowFoundn"
"@EngrSMamman","@IndGreenParty","@charlottelawr",,"@GbNaib","@TNHigherEd"
"@Ron4VA","@MoremiAfrica","@BriaandChrissy",,"@rahultewatia02","@LamazeOnline"
"@prasana_acharya","@AliFenwick","@ShirazLb",,"@rinkusingh235","@SeneddChildren"
"@RepJohnDuncanJr","@LaljiDesaiG","@paulwrightmusic",,"@Deepti_Sharma06","@ESFAgov"
"@AmeetSatam","@EmmanuelFaber","@ElevenPastOne",,"@54simmo","@IESResearch"
"@RamaAIADMK","@HindAleryani","@mccoodavis",,"@MarkandeMayank","@SecCardona"
"@SenOhuabunwa","@Lobnene_Blog","@ItIsMeEJ",,"@megan_schutt","@NIPER_SAS_NAGAR"
"@NDPStephanie","@SChaudharyINC","@SoundBetterNow",,"@iamanmolpreet28","@TheFIREorg"
"@RepDavidYoung","@saragusti","@tamburintweets",,"@CJordan","@GOPHELP"
"@PathForFreedom","@himmatsinghgur1","@30AFest",,"@HerathRSL","@edvoters"
"@ZingnuChau","@Kummanam","@horsemusic",,"@navdeepsaini96","@GoogleForEdu"
"@mohile_seema","@m9po_41","@fullforceworld",,"@Rileerr","@OISEUofT"
"@preston4progres","@LaljiDesaiG","@DaysHayes",,"@MccullumNathan","@RAICESTEXAS"
"@minorta","@EmmanuelFaber","@JordanHillMusic",,"@GbNaib","@LosAngelesCOE"
"@Chepkut_William","@HindAleryani","@BlackFeathersUK",,"@rahultewatia02","@RCOE"
"@RamaAIADMK","@Lobnene_Blog","@natoperastudio",,"@rinkusingh235","@jstreetdotorg"
"@SenOhuabunwa","@SChaudharyINC","@TheItalianTenor",,"@Deepti_Sharma06","@DoDEA"
"@NDPStephanie","@saragusti","@bobmarks",,"@54simmo","@GEMReport"
"@RepDavidYoung","@himmatsinghgur1","@TheIrishRovers",,"@MarkandeMayank","@nyusteinhardt"
"@PathForFreedom","@Kummanam","@30AFest",,"@megan_schutt","@NatGeoEducation"
"@ZingnuChau","@m9po_41","@horsemusic",,"@kylemills79","@HuffPostEdu"
"@mohile_seema","@MabelvanOranje","@fullforceworld",,"@ehsanadil007","@bbceducation"
"@preston4progres","@zeeshanwaheed43","@DaysHayes",,"@sohaibcricketer","@DiscoveryEd"
"@minorta","@ErinSchrode","@JordanHillMusic",,"@IAmIsuru17","@DCSBOE"
"@Chepkut_William","@MalvikaIyer","@BlackFeathersUK",,"@ShivamMavi23","@BetsyDeVos"
"@DrIanClarke","@JamiraBurley","@natoperastudio",,"@prabhsimran01","@HELPCmteDems"
"@WynneTd","@dalitdiva","@TheItalianTenor",,"@yashasvi_j","@RCOE"
"@AlinurMohamed_","@Afine","@bobmarks",,"@IamShivamDube","@jstreetdotorg"
"@tbeaudrymellor","@yodifiji","@TheIrishRovers",,"@sharmakarn03","@DoDEA"
"@nicustefanuta","@lifeofmshaba","@jsvine",,"@CPL","@GEMReport"
"@DrAmolDeshmukh","@ealsaegh","@Lolita_Singer",,"@ParagRiyan","@nyusteinhardt"
"@1edmountain","@dmcrawford","@MaskedSingerBR",,"@shashank2191","@NatGeoEducation"
"@bmasonNDP","@GurratanSingh","@theRealEsthero",,"@PCA","@HuffPostEdu"
"@kshitijhthakur","@Elmessidi","@Bhavna__B",,"@AnujRawat_1755","@bbceducation"
"@MickVeitchMLC","@SameeraAziz","@SingerAmar",,"@RaunakRK","@DiscoveryEd"
"@AlhanFahmy","@jenlutaiwan","@fsingerf",,"@vinodkambli349","@DCSBOE"
"@AnthonyFeig","@SunnyMehtaINC","@SingerAkane",,"@hazharoon","@BetsyDeVos"
"@bal_mla","@KristiCornettTN","@Tama_singer",,"@ImZaheer","@HELPCmteDems"
"@HattersleyforFL","@sunnynsuijk","@MaskedSingerGER",,"@heathmmills","@OECDEduSkills"
"@dominictsz","@traceyram","@layzhang",,"@sharmakarn03","@USNewsEducation"
"@RepStickland","@actvstArchitect","@Aminabuddafly",,"@CPL","@SABCEducation"
"@saseendran_ak","@Elmessidi","@curtisstigers",,"@ParagRiyan","@aaldef"
"@robertszile","@SameeraAziz","@FarOutAkhtar",,"@shashank2191","@gunnsoccer"
"@christopherward","@jenlutaiwan","@FloorJansen_",,"@PCA","@Malala"
"@MirAijaz89","@SunnyMehtaINC","@SOFIofficial",,"@AnujRawat_1755","@lisawwardell"
"@AlhanFahmy","@KristiCornettTN","@sherinasinna",,"@RaunakRK","@educommission"
"@AnthonyFeig","@sunnynsuijk","@daddy_yankee",,"@vinodkambli349","@CoachMTurner"
"@bal_mla","@traceyram","@IAMQUEENLATIFAH",,"@hazharoon","@ESFA_academies"
"@HattersleyforFL","@actvstArchitect","@NeYoCompound",,"@ImZaheer","@AppleEDU"
"@dominictsz","@DericoSymonds","@Aminabuddafly",,"@heathmmills","@DETVic"
"@RepStickland","@iarsuaga","@curtisstigers",,"@Todd_Greenberg","@MicrosoftEDU"
"@saseendran_ak","@LalanKumarINC","@FarOutAkhtar",,"@ProCoachCricket","@adtalemglobal"
"@robertszile","@gba_mm","@FloorJansen_",,"@Matthenry014","@EDPressSec"
"@christopherward","@firoztylor","@SOFIofficial",,"@AlistairNichol6","@EvaMozesKor"
"@MirAijaz89","@ErinForUs","@sherinasinna",,"@parthiv9","@tc_mohe"
"@rahne_jones","@Elmessidi","@daddy_yankee",,"@imAagarkar","@WSETglobal"
"@DrMannySenate","@SameeraAziz","@IAMQUEENLATIFAH",,"@sherryontopp","@Stanford_AD"
"@Sh_Kocharyan","@jenlutaiwan","@NeYoCompound",,"@KamiAkmal23","@tafensw"
"@TajinderSTS","@SunnyMehtaINC","@afgan___",,"@doddaganesha","@ftbized"
"@takfirdous","@KristiCornettTN","@raisa6690",,"@REALsaeedajmal","@EduCannotWait"
"@Rajkumari_AAP","@sunnynsuijk","@anirudhofficial",,"@Swannyg66",
"@ParagShahBJP","@traceyram","@TomTolesToons",,"@markbutcher72",
"@michellemungall","@actvstArchitect","@juliefowlis",,"@TomMoodyCricket",
"@DominicCardy","@DericoSymonds","@ashabhosle",,"@kartikmurali",
"@AnitaSubhadars1","@iarsuaga","@MikaSingh",,"@MohammadKaif",
"@MCABBAS","@LalanKumarINC","@sjhsjh0628",,"@danchristian54",
"@DrewSm1th","@gba_mm","@LaurenJauregui",,"@jacqueskallis75",
"@PaulDavisKS","@firoztylor","@AbbyTrott",,"@Vinay_Kumar_R",
"@SteveO_Connell","@ErinForUs","@TheMandyMoore",,"@rpsingh",
"@TaliaForScience","@Elmessidi","@samuelmilby",,"@chopraanjum",
"@SarahGad2020","@SameeraAziz","@JordinSparks",,"@REALsaeedajmal",
"@SheikhAamir_inc","@jenlutaiwan","@markhoppus",,"@Swannyg66",
"@prfredmwesigye","@SunnyMehtaINC","@bridgitmendler",,"@markbutcher72",
"@laweenatroshi","@KristiCornettTN","@YengPLUGGEDin",,"@TomMoodyCricket",
"@DrewSm1th","@sunnynsuijk","@TEYANATAYLOR",,"@kartikmurali",
"@PaulDavisKS","@traceyram","@MirandaSings",,"@MohammadKaif",
"@SteveO_Connell","@actvstArchitect","@mynameisrossa",,"@danchristian54",
"@TaliaForScience","@DericoSymonds","@HilaryDuff",,"@jacqueskallis75",
"@SarahGad2020","@iarsuaga","@RitaWilson",,"@Vinay_Kumar_R",
"@SheikhAamir_inc","@LalanKumarINC","@TheMandyMoore",,"@rpsingh",
"@prfredmwesigye","@gba_mm","@samuelmilby",,"@chopraanjum",
"@laweenatroshi","@firoztylor","@JordinSparks",,"@DGoughie",
"@gghamari","@ErinForUs","@markhoppus",,"@Mustafiz90",
"@PeterPollak8",,"@bridgitmendler",,"@DavidHussey29",
"@arbab_lutfullah",,"@YengPLUGGEDin",,"@holland_tom",
"@paranawithana",,"@TEYANATAYLOR",,"@Natarajan_91",
"@greglawrenceSK",,"@MirandaSings",,"@wvraman",
"@sunnynsuijk",,"@mynameisrossa",,"@IrfanPathan",
"@FaroleJr",,"@HilaryDuff",,"@glennmcgrath11",
"@grahamsucha",,"@RitaWilson",,"@AzharAli_",
"@luigidimaio",,"@SunidhiChauhan5",,"@MontyPanesar",
"@AymanNour",,"@NeilNMukesh",,"@akshar2026",
"@ChetanDudiINC",,"@annhcallaway",,"@abhisheknayar1",
"@Fahrihamzah",,"@ThisIsDSP",,"@RusselArnold69",
"@safaalhashem",,"@MrPeterAndre",,"@WasimJaffer14",
"@HKigwangalla",,"@geofftate",,"@damienmartyn",
"@TsamaraDKI",,"@Shankar_Live",,"@Athersmike",
"@MohammedMAHSOOB",,"@RealKylePatrick",,"@StewieCricket",
"@aleemkhan_pti",,"@EstelleDarlings",,"@Sakariya55",
"@nirahua1",,"@xtianbautista",,"@MahediHasan_55",
"@chaturon",,"@BrotherSu",,"@C_Edwards23",
"@drmmjoshibjp",,"@liannelahavas",,,
"@paritw92",,"@sabzwashington",,,
"@publictvnews",,"@chris_kammy",,,
"@ChetanDudiINC",,"@catrionaelisa",,,
"@Fahrihamzah",,"@boden_jon",,,
"@safaalhashem",,"@RobinMeade",,,
"@HKigwangalla",,"@brandonsaller",,,
"@TsamaraDKI",,"@jaswinderworld",,,
"@MohammedMAHSOOB",,"@xtianbautista",,,
"@aleemkhan_pti",,"@BrotherSu",,,
"@nirahua1",,"@liannelahavas",,,
"@chaturon",,"@sabzwashington",,,
"@drmmjoshibjp",,"@chris_kammy",,,
"@paritw92",,"@catrionaelisa",,,
"@publictvnews",,"@boden_jon",,,
"@Prksh_Ambedkar",,"@RobinMeade",,,
"@amrelhady4000",,"@brandonsaller",,,
"@ThamizhachiTh",,"@jaswinderworld",,,
"@ziad_hawat",,"@MaherZain",,,
"@aloor_ShaNavas",,"@JennyMcCarthy",,,
"@ObeidaNahas",,"@SandraBernhard",,,
"@HusseinBashe",,"@RandyRainbow",,,
"@subhashmahariaa",,"@Kandi",,,
"@DrVSarojaoffl",,"@NattiNatasha",,,
"@AjayVishnoiBJP",,"@blackthought",,,
"@AjayChoudhariSS",,"@Alanis",,,
"@ir_aref",,"@christinaperri",,,
"@lojzepeterle",,"@AmandaHolden",,,
"@SenatorMushtaq",,"@salim_merchant",,,
"@riekediahp",,"@emersonhart",,,
"@MNSAmeyaKhopkar",,"@cyndilauper",,,
"@MotisinghU",,"@arnelpineda",,,
"@ShamaBanoINC",,"@jeffbernat",,,
"@MaulanaHaideri",,"@allisimpson",,,
"@AjayChoudhariSS",,"@theebillyporter",,,
"@ir_aref",,"@ishehnaaz_gill",,,
"@lojzepeterle",,"@caricevhouten",,,
"@SenatorMushtaq",,"@saadlamjarred1",,,
"@riekediahp",,,,,
"@MNSAmeyaKhopkar",,,,,
"@MotisinghU",,,,,
"@ShamaBanoINC",,,,,
"@MaulanaHaideri",,,,,
"@senatorMtalha",,,,,
"@PKKunhalikutty",,,,,
"@pavel23",,,,,
"@VetriazhaganA",,,,,
"@TimBjorkmanSD",,,,,
"@aditi_munshi",,,,,
"@_Jadranka_Kosor",,,,,
"@MianAslam_",,,,,
"@BairwaPrashant",,,,,
"@miprakashbhau",,,,,
"@MayanthaD",,,,,
"@LukaszKohut",,,,,
"@thadjigeorgiou",,,,,
"@rafiquemandelia",,,,,
"@SiruKauppinen",,,,,
"@maji_mahua",,,,,
"@V_Omelyan",,,,,
"@divyarajrewa",,,,,
"@rmkanev",,,,,
"@Bondauma_MLA",,,,,
"@MayanthaD",,,,,
"@LukaszKohut",,,,,
"@thadjigeorgiou",,,,,
"@rafiquemandelia",,,,,
"@SiruKauppinen",,,,,
"@maji_mahua",,,,,
"@V_Omelyan",,,,,
"@divyarajrewa",,,,,
"@rmkanev",,,,,
"@Bondauma_MLA",,,,,
"@DharampalLakra",,,,,
"@wesleypechler93",,,,,
"@JyotiINC13",,,,,
"@alibas76",,,,,
"@mlamangeshbjp",,,,,
"@JogarampatelMLA",,,,,
"@raodansinghhry",,,,,
"@mrkamleshwar",,,,,
"@inc_jpagarwal",,,,,
"@RsRajeshShukla",,,,,
"@anpandeybjp",,,,,
"@takeuchi_yuzuru",,,,,
"@NitinNandgaonk3",,,,,
"@WasiqQAbbasi",,,,,
"@PritiranjanBJD",,,,,
"@SSP_MANICKAM",,,,,
"@advjgprince",,,,,
"@DrKalanidhiV",,,,,
"@Sameer_Bhujbal",,,,,
